Isochrones of the models from:

- Baraffe, Chabrier, Barman, Allard, Hauschildt, 2003, A&A, accepted
   "Evolutionary models for cool brown dwarfs and extrasolar giant planets.
    The case of HD 209458"
    
 NOTE: -M/Ms ---> mass in Msun
       -L/Ls ---> log L/Lsun
       -g    ---> log g
       -R    ---> radius R/Rsun
       -Absolute magnitudes VRI in Cousins System of Bessell
       - JHK  in CIT-system - L' (Mll) in Johnson-Glass - M in Johnson system.


   t (Gyr) =   0.120
--------------------------------------------------------------------------------
 M/Ms    Teff      L/Ls     g     R     Mv     Mr       Mi    Mj     Mh      Mk    Mll    Mm
--------------------------------------------------------------------------------
 0.0005   227.   -7.526  3.032  0.113  43.82  39.25  35.63  29.59  27.43  39.50  20.03  18.03  
 0.0010   295.   -7.043  3.307  0.116  33.54  29.61  26.78  23.06  22.92  30.33  17.71  15.92  
 0.0020   403.   -6.481  3.588  0.119  29.96  25.94  23.13  20.41  20.14  23.91  16.18  14.75  
 0.0030   475.   -6.183  3.753  0.120  28.93  24.74  21.93  19.17  18.88  21.55  15.42  14.09  
 0.0040   537.   -5.970  3.876  0.121  28.29  24.00  21.19  18.29  18.03  19.95  14.84  13.66  
 0.0050   599.   -5.781  3.974  0.121  27.81  23.44  20.64  17.53  17.32  18.69  14.30  13.31  
 0.0060   665.   -5.602  4.055  0.120  27.48  23.06  20.24  16.94  16.75  17.67  13.85  12.97  
 0.0070   716.   -5.477  4.127  0.120  27.25  22.79  19.97  16.51  16.35  16.95  13.53  12.73  
 0.0080   783.   -5.326  4.188  0.119  26.95  22.46  19.65  16.02  15.90  16.18  13.17  12.48  
 0.0090   835.   -5.219  4.243  0.119  26.71  22.22  19.43  15.67  15.58  15.68  12.92  12.31  
 0.0100   900.   -5.088  4.290  0.119  26.41  21.93  19.16  15.26  15.18  15.09  12.60  12.11  
 0.0120  1273.   -4.432  4.314  0.126  24.05  19.88  17.26  13.45  13.25  13.03  11.11  11.29  
 0.0150  1298.   -4.436  4.450  0.121  24.12  19.95  17.25  13.43  13.27  13.07  11.15  11.34  
 0.0200  1484.   -4.218  4.590  0.119  22.95  19.01  16.31  12.87  12.65  12.51  10.75  11.13  
 0.0300  1905.   -3.764  4.745  0.122  20.43  17.19  14.87  11.75  11.44  11.17   9.98  10.56  
 0.0400  2204.   -3.472  4.831  0.127  18.90  15.94  13.60  11.08  10.72  10.40   9.54  10.03  
 0.0500  2441.   -3.244  4.878  0.135  17.51  15.05  12.78  10.60  10.20   9.89   9.19   9.55  
 0.0600  2606.   -3.083  4.909  0.142  16.44  14.38  12.22  10.26   9.84   9.54   8.93   9.20  
 0.0700  2733.   -2.944  4.921  0.152  15.60  13.81  11.78   9.97   9.54   9.25   8.69   8.91  
 0.0720  2753.   -2.922  4.923  0.153  15.47  13.72  11.71   9.92   9.49   9.20   8.65   8.86  
 0.0750  2783.   -2.886  4.923  0.157  15.27  13.57  11.60   9.84   9.41   9.12   8.58   8.78  
 0.0800  2824.   -2.838  4.929  0.161  15.01  13.38  11.45   9.74   9.30   9.02   8.50   8.68  
 0.0900  2894.   -2.753  4.937  0.169  14.56  13.03  11.20   9.56   9.11   8.83   8.34   8.50  
 0.1000  2949.   -2.673  4.936  0.178  14.19  12.73  10.97   9.38   8.93   8.66   8.18   8.33  

