BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0005
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.010  2387.   -2.47  3.38  0.339    1.000  16.87  14.32  11.81   8.77   8.30   7.83   7.44   7.15   7.30
 0.015  2514.   -2.21  3.38  0.413    1.000  15.56  13.26  10.84   8.13   7.67   7.24   6.87   6.61   6.73
 0.020  2594.   -2.05  3.40  0.466    1.000  14.78  12.62  10.26   7.74   7.28   6.87   6.53   6.28   6.38
 0.030  2668.   -1.79  3.36  0.599    1.000  13.80  11.77   9.47   7.08   6.62   6.24   5.92   5.67   5.77
 0.040  2733.   -1.66  3.40  0.661    1.000  13.20  11.28   9.04   6.78   6.30   5.95   5.65   5.41   5.50
 0.050  2762.   -1.48  3.34  0.791    1.000  12.69  10.80   8.57   6.34   5.86   5.52   5.24   5.00   5.09
 0.060  2808.   -1.40  3.37  0.841    1.000  12.32  10.49   8.31   6.15   5.66   5.33   5.06   4.83   4.92
 0.070  2835.   -1.33  3.37  0.900    1.000  12.08  10.28   8.10   5.97   5.48   5.16   4.90   4.67   4.76
 0.072  2832.   -1.29  3.35  0.937    1.000  12.02  10.21   8.03   5.89   5.39   5.07   4.82   4.58   4.67
 0.075  2836.   -1.27  3.34  0.966    1.000  11.94  10.14   7.96   5.82   5.32   5.00   4.75   4.51   4.60
 0.080  2837.   -1.20  3.31  1.040    1.000  11.81   9.99   7.81   5.65   5.15   4.84   4.59   4.35   4.45
 0.090  2864.   -1.13  3.31  1.101    1.000  11.60   9.80   7.63   5.50   4.99   4.69   4.45   4.21   4.31
 0.100  2925.   -1.15  3.41  1.033    1.000  11.43   9.73   7.60   5.57   5.05   4.76   4.54   4.31   4.40
 0.110  2945.   -1.07  3.38  1.115    1.000  11.20   9.51   7.39   5.37   4.84   4.56   4.35   4.12   4.22
 0.130  3006.   -0.93  3.34  1.270    1.000  10.66   9.05   6.97   5.02   4.45   4.20   4.02   3.79   3.90
 0.150  3076.   -0.79  3.31  1.412    1.000  10.09   8.58   6.57   4.72   4.12   3.88   3.72   3.51   3.62
 0.170  3139.   -0.67  3.28  1.565    1.000   9.60   8.18   6.23   4.44   3.79   3.57   3.44   3.24   3.35
 0.200  3220.   -0.54  3.26  1.728    1.000   9.09   7.74   5.86   4.15   3.46   3.26   3.14   2.96   3.08
 0.300  3460.   -0.20  3.23  2.203    1.000   7.60   6.51   4.90   3.42   2.63   2.45   2.37   2.26   2.40
 0.400  3670.   -0.05  3.30  2.338    1.000   6.63   5.73   4.42   3.14   2.33   2.17   2.09   2.02   2.17
 0.500  3848.    0.07  3.36  2.444    1.000   5.83   5.05   4.02   2.88   2.10   1.96   1.88   1.85   1.99
 0.600  3987.    0.16  3.41  2.524    1.000   5.36   4.62   3.76   2.71   1.96   1.83   1.75   1.73   1.87
 0.700  4110.    0.26  3.43  2.657    1.000   5.00   4.22   3.48   2.49   1.78   1.66   1.59   1.58   1.71
 0.800  4221.    0.35  3.44  2.805    1.000   4.63   3.88   3.23   2.29   1.62   1.51   1.44   1.43   1.55
 0.900  4315.    0.43  3.45  2.944    1.000   4.34   3.61   3.01   2.11   1.48   1.37   1.30   1.29   1.41
 1.000  4397.    0.50  3.46  3.079    1.000   4.09   3.39   2.82   1.96   1.35   1.25   1.18   1.17   1.29
 1.100  4471.    0.57  3.47  3.209    1.000   3.87   3.20   2.66   1.81   1.23   1.14   1.07   1.06   1.18
 1.200  4537.    0.63  3.47  3.344    1.000   3.67   3.03   2.50   1.68   1.12   1.03   0.96   0.96   1.07
 1.300  4596.    0.68  3.47  3.469    1.000   3.49   2.87   2.36   1.56   1.02   0.93   0.87   0.86   0.97
 1.400  4647.    0.74  3.47  3.601    1.000   3.33   2.73   2.22   1.45   0.92   0.83   0.77   0.77   0.87
