BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =   0.0030
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.010  2142.   -3.13  3.85  0.198    1.000  19.59  16.72  14.15  10.43   9.87   9.35   8.88   8.54   8.86
 0.015  2406.   -2.79  3.88  0.232    1.000  17.56  15.04  12.54   9.56   9.07   8.63   8.24   7.95   8.17
 0.020  2545.   -2.57  3.89  0.267    1.000  16.30  14.05  11.64   9.04   8.55   8.14   7.79   7.53   7.69
 0.030  2706.   -2.17  3.77  0.373    1.000  14.52  12.58  10.33   8.07   7.59   7.22   6.90   6.67   6.77
 0.040  2784.   -1.92  3.69  0.470    1.000  13.57  11.76   9.58   7.46   6.98   6.63   6.33   6.10   6.19
 0.050  2831.   -1.74  3.64  0.559    1.000  13.00  11.24   9.10   7.02   6.54   6.20   5.92   5.70   5.79
 0.060  2870.   -1.61  3.61  0.634    1.000  12.59  10.87   8.74   6.70   6.21   5.89   5.63   5.40   5.49
 0.070  2906.   -1.51  3.60  0.695    1.000  12.27  10.58   8.46   6.45   5.95   5.65   5.40   5.18   5.27
 0.072  2911.   -1.49  3.59  0.710    1.000  12.20  10.52   8.40   6.40   5.90   5.60   5.35   5.13   5.22
 0.075  2919.   -1.46  3.59  0.727    1.000  12.12  10.44   8.33   6.34   5.84   5.54   5.30   5.07   5.16
 0.080  2931.   -1.42  3.58  0.758    1.000  11.97  10.31   8.21   6.23   5.73   5.43   5.19   4.97   5.06
 0.090  2956.   -1.36  3.59  0.794    1.000  11.76  10.13   8.05   6.10   5.59   5.30   5.07   4.85   4.95
 0.100  2998.   -1.44  3.74  0.710    1.000  11.74  10.20   8.16   6.30   5.77   5.49   5.27   5.06   5.15
 0.110  3016.   -1.39  3.75  0.736    1.000  11.57  10.05   8.03   6.20   5.67   5.39   5.18   4.97   5.06
 0.130  3052.   -1.32  3.76  0.783    1.000  11.24   9.78   7.81   6.03   5.49   5.22   5.01   4.81   4.90
 0.150  3088.   -1.25  3.78  0.827    1.000  10.92   9.52   7.60   5.88   5.33   5.06   4.86   4.66   4.75
 0.170  3127.   -1.18  3.78  0.882    1.000  10.61   9.27   7.38   5.70   5.14   4.88   4.69   4.50   4.59
 0.200  3196.   -1.10  3.81  0.917    1.000  10.24   8.97   7.15   5.55   4.96   4.72   4.55   4.36   4.46
 0.300  3404.   -0.86  3.86  1.067    1.000   9.12   8.04   6.44   5.03   4.38   4.16   4.03   3.89   3.99
 0.400  3582.   -0.68  3.89  1.186    1.000   8.22   7.29   5.92   4.65   3.95   3.76   3.64   3.55   3.66
 0.500  3731.   -0.54  3.91  1.292    1.000   7.56   6.71   5.52   4.35   3.62   3.45   3.36   3.29   3.41
 0.600  3868.   -0.42  3.94  1.374    0.996   7.01   6.22   5.21   4.10   3.37   3.23   3.14   3.10   3.23
 0.700  3998.   -0.31  3.96  1.458    0.978   6.53   5.79   4.91   3.88   3.15   3.02   2.95   2.92   3.05
 0.800  4120.   -0.21  3.97  1.535    0.918   6.19   5.40   4.65   3.66   2.97   2.85   2.78   2.76   2.89
 0.900  4232.   -0.13  3.98  1.604    0.873   5.85   5.09   4.42   3.49   2.82   2.71   2.65   2.63   2.76
 1.000  4330.   -0.05  3.99  1.674    0.875   5.56   4.83   4.22   3.32   2.69   2.58   2.52   2.51   2.63
 1.100  4421.    0.02  3.99  1.747    0.899   5.29   4.59   4.02   3.16   2.56   2.46   2.40   2.39   2.51
 1.200  4505.    0.09  4.00  1.817    0.925   5.05   4.38   3.84   3.02   2.44   2.35   2.29   2.28   2.39
 1.300  4588.    0.15  4.00  1.887    0.947   4.83   4.19   3.68   2.88   2.33   2.24   2.19   2.18   2.28
 1.400  4671.    0.22  4.00  1.967    0.965   4.61   4.00   3.50   2.74   2.21   2.13   2.08   2.07   2.17
