BHAC15 models

L/Ls: log L/Lsun
g: log g
R/Rs : R/Rsun
Li/Li0: ratio of surface lithium abundance to initial abundance


!  Zero-point corrections to standard system
!  are obtained from observed Vega spectra:
!  Bohlin 2007, ASP Conf. Series, ed. C. Sterken
!  (apparent Vega mag is assumed NULL in each bandpass)

! V,R,I Cousin (Bessell 90)
! + JHK CIT (Elias 82)
! + L,LL(L'),M Johnson-Glass(Bessell 88)


!  t (Gyr) =  10.0000
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm
!-----------------------------------------------------------------------------------------------
 0.070  1626.   -4.30  5.38  0.090    0.000  23.43  19.72  17.44  14.10  12.96  12.09  11.18  10.81  11.43
 0.072  1790.   -4.12  5.38  0.091    0.000  22.46  18.98  16.68  13.23  12.35  11.70  10.88  10.54  11.23
 0.075  2037.   -3.89  5.39  0.091    0.000  21.90  18.47  16.01  12.33  11.69  11.35  10.66  10.30  11.06
 0.080  2345.   -3.58  5.35  0.099    0.000  20.26  17.15  14.58  11.43  10.93  10.65  10.16   9.85  10.49
 0.090  2646.   -3.25  5.29  0.113    0.000  17.98  15.51  13.13  10.74  10.22   9.91   9.56   9.31   9.63
 0.100  2812.   -3.06  5.25  0.124    0.000  16.47  14.51  12.33  10.32   9.79   9.48   9.17   8.96   9.17
 0.110  2917.   -2.92  5.22  0.135    0.000  15.79  13.93  11.85  10.00   9.48   9.18   8.90   8.70   8.88
 0.130  3048.   -2.73  5.17  0.156    0.000  14.61  13.10  11.21   9.56   9.03   8.75   8.49   8.31   8.45
 0.150  3133.   -2.58  5.13  0.175    0.000  13.75  12.50  10.76   9.24   8.70   8.43   8.18   8.01   8.12
 0.170  3194.   -2.46  5.10  0.193    0.000  13.26  12.08  10.42   8.96   8.42   8.15   7.92   7.76   7.85
 0.200  3265.   -2.31  5.05  0.220    0.000  12.69  11.58  10.00   8.61   8.06   7.80   7.58   7.43   7.51
 0.300  3416.   -1.95  4.95  0.304    0.000  11.46  10.45   9.04   7.76   7.21   6.96   6.77   6.63   6.70
 0.400  3524.   -1.70  4.88  0.380    0.000  10.64   9.69   8.39   7.18   6.61   6.38   6.20   6.08   6.16
 0.500  3689.   -1.43  4.79  0.471    0.000   9.67   8.81   7.68   6.56   5.97   5.76   5.60   5.52   5.60
 0.600  4013.   -1.12  4.71  0.569    0.000   8.50   7.73   6.88   5.90   5.26   5.11   5.00   4.96   5.07
 0.700  4493.   -0.79  4.64  0.662    0.000   7.29   6.59   6.04   5.22   4.63   4.54   4.49   4.48   4.58
 0.800  5002.   -0.47  4.56  0.776    0.000   6.18   5.64   5.21   4.56   4.12   4.05   4.01   4.00   4.08
 0.900  5495.   -0.12  4.42  0.964    0.063   5.15   4.72   4.36   3.85   3.50   3.45   3.43   3.43   3.47
