Isochrones of the models from:

- Baraffe, Chabrier, Barman, Allard, Hauschildt, 2003, A&A, accepted
   "Evolutionary models for cool brown dwarfs and extrasolar giant planets.
    The case of HD 209458"
    
 NOTE: -M/Ms ---> mass in Msun
       -L/Ls ---> log L/Lsun
       -g    ---> log g
       -R    ---> radius R/Rsun
       -Absolute magnitudes VRI in Cousins System of Bessell
       - JHK  in CIT-system - L' (Mll) in Johnson-Glass - M in Johnson system.


   t (Gyr) =   0.500
--------------------------------------------------------------------------------
 M/Ms    Teff      L/Ls     g     R     Mv     Mr       Mi    Mj     Mh      Mk    Mll    Mm
--------------------------------------------------------------------------------
 0.0005   141.   -8.415  3.097  0.105  56.30  51.03  46.60  37.42  33.07  51.62  23.09  20.59  
 0.0010   203.   -7.753  3.365  0.109  47.57  42.88  38.99  31.61  29.15  43.23  20.93  18.68  
 0.0020   272.   -7.218  3.639  0.112  37.05  33.00  30.06  25.07  24.62  34.02  18.66  16.58  
 0.0030   322.   -6.913  3.805  0.113  32.02  28.23  25.75  22.05  22.27  29.03  17.52  15.53  
 0.0040   370.   -6.670  3.928  0.114  30.65  26.73  24.16  21.01  21.06  26.45  16.85  15.05  
 0.0050   409.   -6.496  4.027  0.113  29.60  25.57  22.94  20.20  20.11  24.54  16.32  14.67  
 0.0060   449.   -6.340  4.112  0.113  29.16  25.05  22.39  19.64  19.51  23.10  15.92  14.36  
 0.0070   488.   -6.200  4.185  0.112  28.71  24.51  21.80  19.10  18.91  21.68  15.52  14.06  
 0.0080   525.   -6.080  4.249  0.111  28.40  24.14  21.41  18.65  18.46  20.74  15.19  13.83  
 0.0090   564.   -5.963  4.307  0.110  28.14  23.82  21.07  18.21  18.04  19.95  14.88  13.63  
 0.0100   599.   -5.864  4.358  0.110  27.91  23.53  20.77  17.80  17.66  19.22  14.59  13.43  
 0.0120   759.   -5.447  4.432  0.110  27.20  22.73  19.91  16.38  16.29  16.82  13.51  12.68  
 0.0150   791.   -5.404  4.557  0.107  27.11  22.63  19.81  16.20  16.16  16.58  13.41  12.60  
 0.0200   936.   -5.133  4.704  0.104  26.53  22.07  19.27  15.33  15.34  15.37  12.78  12.21  
 0.0300  1264.   -4.636  4.905  0.101  24.97  20.77  17.95  13.90  13.87  13.69  11.70  11.68  
 0.0400  1583.   -4.255  5.040  0.100  23.11  19.28  16.74  12.92  12.76  12.68  10.95  11.33  
 0.0500  1875.   -3.955  5.131  0.101  21.31  17.94  15.53  12.21  11.95  11.79  10.44  10.99  
 0.0600  2116.   -3.729  5.194  0.102  19.99  16.91  14.50  11.69  11.36  11.13  10.10  10.63  
 0.0700  2329.   -3.534  5.233  0.106  18.84  16.04  13.68  11.27  10.90  10.63   9.81  10.26  
 0.0720  2369.   -3.498  5.238  0.107  18.60  15.89  13.54  11.19  10.81  10.54   9.75  10.19  
 0.0750  2426.   -3.445  5.244  0.108  18.25  15.66  13.33  11.08  10.69  10.42   9.67  10.08  
 0.0800  2518.   -3.356  5.248  0.111  17.65  15.27  13.00  10.89  10.49  10.22   9.53   9.89  
 0.0900  2680.   -3.189  5.241  0.119  16.54  14.56  12.43  10.55  10.12   9.85   9.25   9.53  
 0.1000  2804.   -3.047  5.223  0.128  15.68  13.96  11.98  10.25   9.80   9.54   9.00   9.22  


