Isochrones of the models from:

- Baraffe, Chabrier, Barman, Allard, Hauschildt, 2003, A&A, accepted
   "Evolutionary models for cool brown dwarfs and extrasolar giant planets.
    The case of HD 209458"
    
 NOTE: -M/Ms ---> mass in Msun
       -L/Ls ---> log L/Lsun
       -g    ---> log g
       -R    ---> radius R/Rsun
       -Absolute magnitudes VRI in Cousins System of Bessell
       - JHK  in CIT-system - L' (Mll) in Johnson-Glass - M in Johnson system.


   t (Gyr) =  10.000
--------------------------------------------------------------------------------
 M/Ms    Teff      L/Ls     g     R     Mv     Mr       Mi    Mj     Mh      Mk    Mll    Mm
--------------------------------------------------------------------------------
 0.0030   125.   -8.629  3.879  0.104  61.46  55.89  50.79  38.29  35.04  54.28  23.36  20.89  
 0.0040   149.   -8.325  4.006  0.104  58.00  52.62  47.86  36.01  33.56  51.11  22.59  20.19  
 0.0050   172.   -8.087  4.109  0.103  54.62  49.46  45.05  34.06  32.18  48.26  21.92  19.57  
 0.0060   193.   -7.888  4.195  0.102  51.29  46.38  42.30  32.23  30.85  45.53  21.29  18.97  
 0.0070   213.   -7.724  4.270  0.102  48.17  43.50  39.72  30.55  29.62  43.01  20.71  18.41  
 0.0080   232.   -7.584  4.335  0.101  45.19  40.77  37.28  29.00  28.46  40.66  20.18  17.89  
 0.0090   249.   -7.469  4.393  0.100  42.49  38.30  35.07  27.62  27.41  38.55  19.70  17.42  
 0.0100   265.   -7.368  4.445  0.099  39.95  35.99  33.00  26.34  26.44  36.59  19.26  16.98  
 0.0120   293.   -7.204  4.536  0.098  35.23  31.68  29.12  24.04  24.64  33.06  18.48  16.20  
 0.0150   330.   -7.016  4.650  0.096  32.81  29.25  26.80  22.70  23.33  30.46  17.93  15.76  
 0.0200   389.   -6.759  4.802  0.093  30.75  26.99  24.64  21.28  21.73  27.02  17.21  15.19  
 0.0300   504.   -6.358  5.029  0.088  28.98  24.87  22.35  19.72  19.68  22.59  16.04  14.37  
 0.0400   634.   -6.004  5.200  0.083  28.18  23.85  21.19  18.33  18.33  19.99  15.03  13.75  
 0.0500   776.   -5.695  5.338  0.079  27.64  23.21  20.47  17.10  17.18  18.07  14.23  13.21  
 0.0600   941.   -5.393  5.450  0.076  27.20  22.74  19.93  16.04  16.18  16.55  13.50  12.73  
 0.0700  1289.   -4.832  5.503  0.078  25.69  21.45  18.60  14.37  14.43  14.36  12.27  12.08  
 0.0720  1556.   -4.472  5.481  0.081  24.17  20.22  17.48  13.44  13.41  13.36  11.55  11.75  
 0.0750  1997.   -3.954  5.415  0.089  21.10  17.85  15.39  12.23  11.95  11.81  10.56  11.08  
 0.0800  2322.   -3.602  5.353  0.099  19.10  16.27  13.89  11.43  11.06  10.82   9.97  10.43  
 0.0900  2624.   -3.274  5.289  0.113  17.01  14.88  12.69  10.73  10.31  10.04   9.41   9.73  
 0.1000  2786.   -3.082  5.246  0.125  15.85  14.09  12.08  10.32   9.88   9.62   9.07   9.30  

